№,Компания,Топ 5,Название,SEO Meta title,SEO Meta description,Короткое описание (абзац),Тег,Дата ,Ключевые мысли,Обложка,Заголовок кейса,Короткое описание,Ф1 цифра,Ф1 подпись,Ф1 описание,Ф2 цифра,Ф2 подпись,Ф2 описание,Ф3 цифра,Ф3 подпись,Ф3 описание,итог проекта,тело кейса,Связи с продуктами, CTA
,,,Осмысленное: что сделали + отрасль,"По смыслу - то что надо. В конце добавь через разделитель название раздела + Rocketmind, это важно, чтобы рядом с названием кейса был наш бренд. По длине отлично,в пределах 30-65 символов (рекомендация)",По смыслу отлично. Суть дескрипшена рассказать в чем кейс (ответить на вопрос Какую задачу решали?) и коротко как решали. По объему рекомендую 120-320 символов,,,,,"Верно ли, что тут нужны идеи, что может быть на обложке?",дублирует колонку D,дублирует колонку G,,,,,,,,,,,"Внутри тела большого кейса нужна доп верстка (списки, врезки (цитаты), выделения жирным шрифтом - как у нас на старом сайте https://rocketmind.ru/cases/optimizatsiya-lineyki-hr-produktov-dlya-toplivnoy-kompanii",,
1,Газпромнефть,,Оптимизация линейки HR‑продуктов для внутреннего клиента топливной компании,Воркшоп по платформенному мышлению для топ‑менеджеров | Кейсы Rocketmind,"Оптимизация HR‑продуктов и рабочей среды для коммерческих команд: исследование рабочих процессов, обновление линейки внутренних сервисов и выстраивание экосистемы, которая одновременно поддерживает сотрудников и стратегические цели бизнеса.","Провели глубокий анализ и стратегические сессии с 40+ сотрудниками. Выявили узкие места, разработали решения для повышения эффективности HR-продуктов — заложили основу для роста подразделений клиента.","Роли и команда, Продукты",2024,"Создание комфортной рабочей среды требует глубокой диагностики потребностей людей, а уже потом — новых инструментов.

Было важно одновременно учитывать операционные нужды сотрудников и стратегические приоритеты бизнеса.

Глубокий анализ через интервью и исследование экосистемы вокруг сотрудника помог выявить неочевидные узкие места.

Результат проекта — обновлённая линейка HR‑инструментов и набор карт и канвасов, которые упрощают работу, повышают продуктивность и поддерживают рост бизнеса.","Иллюстрация офиса или рабочей сессии: команда обсуждает схемы и карты на стене/борде, визуально показана экосистема инструментов вокруг сотрудника",Оптимизация линейки HR‑продуктов для внутреннего клиента топливной компании,"Провели глубокий анализ и стратегические сессии с 40+ сотрудниками. Выявили узкие места, разработали решения для повышения эффективности HR-продуктов — заложили основу для роста подразделений клиента.",30+,внутренних HR‑продуктов,"Проанализировали и переосмыслили продукты, выявили ограничения и зоны развития для коммерческого блока",40+,участников проекта,"Вовлекли сотрудников из разных ролей и подразделений, чтобы учесть реальные практики и потребности команд",11,вертикалей экосистемы,Проанализировали экосистему и тщательно изучили все её элементы,"Коммерческая команда получила обновленную экосистему HR‑инструментов, которая упрощает повседневную работу, повышает продуктивность и удовлетворенность, устраняет узкие места в продуктах и создает основу для дальнейшего развития бизнеса. ",Пока для удобства вынесено на отдельный лист. Смотреть лист Тело кейса,,
2,Росатом,,Развитие портфеля продуктов для новых рынков в энергетическом секторе,Развитие продуктового портфеля и выход на международные рынки | Кейсы Rocketmind,"Развитие портфеля продуктов в энергетическом секторе: стратегические сессии с использованием фреймворков и канвасов, генерация бизнес-инициатив и подготовка выхода на международные рынки на основе клиентоцентричного подхода.","Провели стратегические сессии с применением канвасов, сформировали более 20 бизнес-инициатив и разработали предварительные бизнес-модели, помогли перейти к клиентоцентричному мышлению.","Бизнес-модели, Продукты",2024,"Компания стремилась обеспечить загрузку новых мощностей и развить продукты для международных рынков, но была зажата рамками «продуктового» мышления.

Переход к клиентоцентричному подходу потребовал смещения фокуса на ценностное предложение и реальные потребности клиентов. Стратегические сессии с фреймворками и канвасами позволили структурировать обсуждения и быстро перейти от идей к рабочим гипотезам.

Результатом стало формирование бизнес-инициатив по нескольким продуктовым направлениям и развитие навыков стратегического мышления у команды.",Иллюстрация стратегической сессии: команда у большой доски или экрана с канвасами и картами,Развитие портфеля продуктов для новых рынков в энергетическом секторе,"Провели стратегические сессии с применением канвасов, сформировали более 20 бизнес-инициатив и разработали предварительные бизнес-модели, помогли перейти к клиентоцентричному мышлению.",8,продуктовых направлений,Сформировали портфель решений по ключевым направлениям для развития на международных рынках,20+,бизнес-инициатив,Сгенерировали и отобрали инициативы для дальнейшей проработки и тестирования,50,участников из 4 регионов,Объединили экспертизу специалистов из разных стран для поиска новых ниш,"Компания получила структурированный портфель из восьми продуктовых направлений и более 20 бизнес-инициатив, проверенных через фреймворки и черновые бизнес-модели, а команда перешла от «каталожного» мышления к клиентоцентричному подходу к развитию продуктов.",,,
3,Энко,,Экосистемная стратегия для строительной компании,Экосистемная стратегия для строительной компании | Кейсы Rocketmind,"Разработка экосистемной стратегии для девелопера: анализ сервисов, исследование рынка и аудитории, проведение глубинных интервью, формирование портфеля бизнес-инициатив и дорожной карты развития до 2027 года.","Собрали и проанализировали данные, заполнили фреймворки, сформировали портфель бизнес-инициатив и разработали дорожную карту. Клиент получил понимание экосистемного подхода и активно его применяет.",Экосистема,2025,"Девелоперу требовалось перейти от набора разрозненных сервисов к единой экосистеме, которая охватывает весь клиентский путь. 

Разработка экосистемной стратегии потребовала не только аналитики, но и изменения мышления команды. Глубокое исследование рынка, аудитории и конкурентов помогло сформировать обоснованные направления развития. 

Результатом стали портфель бизнес-инициатив, дорожная карта до 2027 года и первые организационные и цифровые изменения в компании.","Схема клиентского пути, карта сервисов и цифровая платформа или суперапп",Экосистемная стратегия для строительной компании,"Собрали и проанализировали данные, заполнили фреймворки, сформировали портфель бизнес-инициатив и разработали дорожную карту. Клиент получил понимание экосистемного подхода и активно его применяет.",500+,источников информации,"Проанализировали отраслевые и рыночные данные, чтобы сформировать основу для экосистемной стратегии",30+,глубинных интервью,Выявили инсайты о потребностях и задачах аудитории для разработки новых сервисов и решений,12,компаний-конкурентов,Детально проанализировали продуктовые портфели и стратегические приоритеты игроков рынка,"Разработали портфель бизнес-инициатив и дорожную карту развития экосистемы до 2027 года. Команда клиента получила понимание экосистемного подхода, создала департамент экосистемы сервисов и начала внедрять цифровые решения на ключевых этапах клиентского пути.",,,
4,Газпромнефть (порт.услуг орг развит),,Портфель услуг по оргразвитию для топливной компании,Портфель услуг по организационному развитию для топливной компании | Кейсы Rocketmind,"Создание портфеля услуг по организационному развитию для топливной компании: исследование трендов и практик, анализ рынка и внутренних данных, подготовка рекомендаций по позиционированию и развитию сервисов.","Провели масштабное исследование трендов и практик организационного развития, проанализировали рынок и внутренние данные компании, систематизировали информацию и подготовили рекомендации по портфелю услуг.","Бизнес-дизайн, Роли и команда, Экосистема",,"Компания хотела создать комплексный портфель услуг по организационному развитию, чтобы повысить эффективность внутренних процессов и ключевых сотрудников. 

Для этого потребовалось собрать и структурировать данные о трендах, практиках и консалтинговом рынке. 

Результатом стала аналитическая база и рекомендации по внутреннему позиционированию сервисов, на основе которых проводились стратегические сессии и принимались управленческие решения.",Иллюстрация аналитического отчёта и карты услуг,Портфель услуг по оргразвитию для топливной компании,"Провели масштабное исследование трендов и практик организационного развития, проанализировали рынок и внутренние данные компании, систематизировали информацию и подготовили рекомендации по портфелю услуг.",90+,источников,"Проанализировали отраслевые исследования, кейсы компаний из разных секторов и открытые данные по оргразвитию",8,игроков рынка,Изучили предложения ведущих консалтинговых компаний и сформировали тепловую карту услуг,5,ключевых результатов для клиента,"Сформировали целостное представление о трендах, лучших практиках и позиционировании внутренних сервисов","Клиент получил структурированную аналитику по трендам и практикам оргразвития, обзор консалтингового рынка и рекомендации по позиционированию сервисов, которые стали основой для внутренних стратегических сессий и проектирования портфеля услуг.",,,
5,Ростелеком,,Развитие продуктов для телеком-оператора,Развитие продуктов для телеком-оператора: дизайн-воркшоп | Кейсы Rocketmind,"Развитие продуктовой линейки телеком-оператора: дизайн-воркшоп, анализ рынка и пользовательского опыта, совместное проектирование ценностных предложений и приоритизация инициатив для новых и существующих продуктов.",Организовали дизайн-воркшоп. Команда получила набор идей и визуальную модель контекста для развития продуктов. Приоритеты помогли эффективно направить ресурсы и адаптировать стратегию под рынок.,"Бизнес-дизайн, Продукты, Экосистема",,"Федеральная телеком-компания искала новые идеи и хотела улучшить существующие продукты, чтобы точнее отвечать на потребности рынка. 

Для этого было проведено несколько этапов дизайн-воркшопа с анализом отрасли, продуктового портфеля и пользовательского опыта.

Итогом стали ценностные предложения, приоритизированные продуктовые инициативы и инструменты для уточнения продуктовой стратегии.","Команда у доски с картами клиентского пути, идеями и схемой продуктового портфеля",Развитие продуктов для телеком-оператора,Организовали дизайн-воркшоп. Команда получила набор идей и визуальную модель контекста для развития продуктов. Приоритеты помогли эффективно направить ресурсы и адаптировать стратегию под рынок.,7,этапов воркшопа,Построили работу по шагам — от подготовки и обучения до анализа портфеля и защиты идей,Формат,комплексный дизайн‑воркшоп,"Соединил исследование рынка, анализ продуктового портфеля и совместное проектирование ценностных предложений",Фокус,на продуктовой стратегии,Команда получила инструменты и рамку для уточнения продуктовой стратегии с учётом потребностей клиентов и трендов рынка,"Команда телеком-оператора получила набор идей и ценностных предложений, визуальную модель контекста и приоритизированные инициативы, которые помогают эффективнее развивать продукты и адаптировать стратегию под потребности рынка.",,,
6,VK,,Cтратегия развития цифровой медиа-платформы,Стратегия развития цифровой медиа‑платформы | Кейсы Rocketmind,"Разработка стратегии развития экосистемной цифровой медиа‑платформы: стратегические сессии, обучение команды Platform Innovation Kit, проработка ролей участников и сценариев роста, создание канвасов и карт развития.","Провели стратегические сессии, используя Platform Innovation Kit. Создали канвасы и карты развития, проработали роли и сценарии роста экосистемной цифровой платформы. Это стало основой для дальнейшей трансформации.","Экосистема, Бизнес-дизайн",2025,"Платформе нужно было переосмыслить стратегию развития экосистемы: уточнить роли участников, сценарии роста и ценностные предложения. 

В течение нескольких месяцев шло сопровождение через обучение, воркшопы и стратегические сессии по платформенному дизайну. 

Итогом стала согласованная экосистемная стратегия с визуальными моделями, которая стала основой дальнейшей трансформации.","Иллюстрация схемы экосистемы: роли участников, связи и карты развития цифровой платформы",Cтратегия развития цифровой медиа-платформы,"Провели стратегические сессии, используя Platform Innovation Kit. Создали канвасы и карты развития, проработали роли и сценарии роста экосистемной цифровой платформы. Это стало основой для дальнейшей трансформации.",5,месяцев сопровождения,"Команда прошла обучение платформенному дизайну, совместно проработала гипотезы и закрепила единую экосистемную стратегию",Формат,"стратегические сессии, воркшопы, консультации","Объединили обучение, совместное моделирование и согласование единой экосистемной стратегии",Фокус,на росте цифровой платформа,"Сконцентрировались на ролях, сетевых эффектах и сценариях развития медиа‑платформы","Клиент получил согласованную и методологически обоснованную экосистемную стратегию с архитектурой ролей, сценариями роста и визуальными картами, которые стали основой трансформации платформы в полноценный цифровой продукт с устойчивым конкурентным преимуществом.",,,
7,Сбер (программа STEP),,Развитие платформенного мышления у топ-менеджеров,Развитие платформенного мышления у топ‑менеджеров | Кейсы Rocketmind,"Очный шестичасовой воркшоп для топ‑менеджеров крупного финансового института: освоение Platform Innovation Kit, разбор реальных кейсов и развитие платформенного и экосистемного мышления для управления цифровой трансформацией.","Провели очный шестичасовой воркшоп для топ-менеджеров: участники освоили Platform Innovation Kit, разобрали реальные кейсы и научились видеть возможности экосистем, оценивать сценарии и собирать бизнес-модель не «в теории», а через практику.","Экосистема, Платформа, Роли и команда",2025,"Топ-менеджерам требовалось развить платформенное и экосистемное мышление как основу для стратегического управления и цифровой трансформации. 

Для этого в образовательный трек интегрировали прикладной модуль с Platform Innovation Kit, разбором кейсов и практикой моделирования. 

В результате участники получили инструменты для проектирования платформенных бизнес-моделей и запуска новых инициатив.",Иллюстрация очного воркшопа: топ-менеджеры работают с канвасами и схемами экосистемы на флипчартах или доске,Развитие платформенного мышления у топ-менеджеров,"Провели очный шестичасовой воркшоп для топ-менеджеров: участники освоили Platform Innovation Kit, разобрали реальные кейсы и научились видеть возможности экосистем, оценивать сценарии и собирать бизнес-модель не «в теории», а через практику.",6,академических часов,Участники прошли интенсивный очный воркшоп с практикой и разбором кейсов,3,уровня экосистемного мышления,"Разобрали, как применять каждый в управлении продуктами и сервисами для поиска точек роста",Фокус,на новом формате мышления,Усилили способность топ-менеджеров видеть сетевые эффекты и сценарии развития платформ,"Участники программы получили прикладные знания и инструменты для проектирования платформенных бизнес-моделей и экосистем, что заложило основу для новых платформенных инициатив и повысило качество управления цифровыми трансформациями и инновациями.",,,
8,Сбер («Передовые инженерные школы»),,Развитие навыков создания платформ для инженерных команд,Обучающий модуль по созданию платформ для инженерных команд | Кейсы Rocketmind,"Обучающий модуль для инженерных команд в рамках федеральной программы: основы платформенного мышления, Platform Innovation Kit и практические кейсы внедрения масштабируемых бизнес‑моделей в традиционных корпорациях.","Организовали обучающий модуль для инженерных команд, расширили их знания о масштабируемых бизнес-моделях: модуль стал ключевой частью цифровой трансформации и платформенного стратегирования.","Экосистема, Платформа, Роли и команда",2025,"В рамках федеральной программы нужно было обучить инженерные и управленческие команды системному, цифровому и платформенному мышлению. 

Эксперты провели выступление и двухдневный практический модуль в корпоративном университете, сосредоточившись на Platform Innovation Kit и примерах из крупных корпораций. 

Участники расширили понимание влияния платформ на высокотехнологичный бизнес и получили инструменты для внедрения платформенного дизайна в своих проектах.",Инженерные команды на практическом модуле,Развитие навыков создания платформ для инженерных команд,"Организовали обучающий модуль для инженерных команд, расширили их знания о масштабируемых бизнес-моделях: модуль стал ключевой частью цифровой трансформации и платформенного стратегирования.",2,дня практики,Сочетали образовательное выступление и двухдневный практический модуль на кампусе корпоративного университета,Практика,Platform Innovation Kit,"Участники работали с методологией PIK, учились строить платформенные бизнес‑модели, разбирали реальные кейсы",Фокус,на корпоративном секторе,Разбирали примеры внедрения платформенного подхода в крупных традиционных корпорациях и высокотехнологичном бизнесе,"Участники получили прикладные знания о платформенном мышлении и масштабируемых бизнес‑моделях, освоили инструменты Platform Innovation Kit и смогли встроить платформенный дизайн в свои проекты в рамках цифровой трансформации.",,,
9,Сбер (DTaaS),,Навыки платформенного мышления для команды цифровой трансформации,Обучение платформенному мышлению для команды цифровой трансформации | Кейсы Rocketmind,"Обучение для подразделения цифровой трансформации крупной финансовой организации: платформенная экономика, экосистемные модели, практикум по бизнес‑моделям и формированию платформенных гипотез.","Научили выявлять и проектировать платформенные гипотезы, понимать логику платформы, анализировать реальные кейсы. Участники команды получили навыки и инструменты для поддержки цифровых бизнесов своих клиентов.","Экосистема, Платформа, Роли и команда",2025,"Команда цифровой трансформации хотела развить внутреннюю экспертизу в платформенной экономике и экосистемных моделях, чтобы лучше поддерживать цифровые бизнесы клиентов. 

Был разработан и проведён учебный модуль с методическими материалами, практикумом по бизнес‑моделям, разбором кейсов и дистанционным сопровождением. 

Участники освоили логику платформ, научились формировать и оценивать платформенные гипотезы.",Иллюстрация обучения: команда в процессе дистанционного обучения,Навыки платформенного мышления для команды цифровой трансформации,"Научили выявлять и проектировать платформенные гипотезы, понимать логику платформы, анализировать реальные кейсы. Участники команды получили навыки и инструменты для поддержки цифровых бизнесов своих клиентов.",Практика,по разбору кейсов,В обучение включили практикум по построению платформенных моделей и формированию сетевых эффектов,Формат,курс с сопровождением,"Соединил методические материалы, практикум, разбор кейсов и дистанционную поддержку участников",Фокус,на поддержке цифровых бизнесов,Развитие платформенного мышления усилило способность команды поддерживать цифровую трансформацию клиентов,"Участники получили структурированное понимание платформенной логики и инструменты для работы с платформенными гипотезами и экосистемными решениями, что повысило качество поддержки цифровой трансформации бизнесов клиентов.",,,
10,Сколково,,Экосистемное мышление и бизнес-моделирование в бизнес-образовании,Обучающий модуль по экосистемному мышлению и бизнес‑моделированию | Кейсы Rocketmind,"Очный модуль в бизнес‑школе: отличия линейных и платформенных моделей, экосистемное мышление, практический воркшоп по созданию прототипов экосистемных бизнес‑моделей для цифровой трансформации проектов.","Организовали очный модуль, на котором участники разобрались в отличиях линейных и платформенных моделей, создали прототипы экосистемных бизнес-моделей и получили навыки для цифровой трансформации проектов.","Экосистема, Платформа, Цифровизация",,"В программе по подготовке управленческих команд к цифровой трансформации требовался прикладной модуль про экосистемное мышление и бизнес‑моделирование. 

На очной сессии в кампусе бизнес‑школы участники получили теоретическое введение и выполнили практический воркшоп по прототипированию экосистемных моделей. 

В результате команды ушли с готовыми картами бизнес‑моделей и гипотезами для развития.",Иллюстрация очного модуля: группы участников за столами ,Экосистемное мышление и бизнес-моделирование в бизнес-образовании,"Организовали очный модуль, на котором участники разобрались в отличиях линейных и платформенных моделей, создали прототипы экосистемных бизнес-моделей и получили навыки для цифровой трансформации проектов.",Сессия,теория плюс практика,Мы объединили экспертное выступление и практический воркшоп,Прототипы,экосистемных моделей,Команды разработали их с помощью инструментов Platform Innovation Kit,Навыки,цифровой трансформации,Модуль предоставил инструменты для переосмысления проектов цифровой трансформации,"Модуль стал частью образовательной программы: команды вышли с готовыми картами бизнес‑моделей, гипотезами для развития и навыком смотреть на организацию через экосистемное мышление, что дало основу для запусков проектов цифровой трансформации.",,,
11,Х5,,Цифровизация юридической функции крупного ритейлера,Аналитическая поддержка цифровизации юридической функции | Кейсы Rocketmind,"Проанализировали данные сотрудников, создали карту корпоративной культуры, сетку инициатив и изучили рынок LegalTech, чтобы подготовить содержательную базу для цифровизации юридической функции.","Проанализировали данные сотрудников, выявили ключевые инсайты, создали карту корпоративной культуры, канвасы инициатив и исследовали рынок LegalTech, чтобы заложить основу для дальнейших управленческих решений.",Цифровизация,2025,"Аналитическая группа обработала результаты двух опросов, собрала карту корпоративной культуры и структурировала инициативы юридической функции. 

Дополнительно было проведено исследование рынка LegalTech. Полученная фактура стала основой для стратегической сессии по цифровизации юридической функции.","Иллюстрация аналитической работы: карты культуры, визуализации данных на досках или экране",Цифровизация юридической функции крупного ритейлера,"Проанализировали данные сотрудников, выявили ключевые инсайты, создали карту корпоративной культуры, канвасы инициатив и исследовали рынок LegalTech, чтобы заложить основу для дальнейших управленческих решений.",60,респондентов опросов,Проанализировали ответы сотрудников и перевели их в понятную картину ожиданий и корпоративной атмосферы,Карты,инициатив и болей,Собрали «сетку инициатив» и тепловые карты ключевых проблем юридического блока,Обзор,"трендов, игроков и проблем","Выделили и описали основные элементы отрасли, чтобы задать контекст для трансформации","Юридический отдел получил инсайты и подборку цитат сотрудников, SWOT-карту культуры, сетку инициатив с приоритетами и обзор рынка LegalTech, которые легли в основу стратегической сессии и дальнейшей трансформации.",,,
12,Тинькофф групп,,Платформенная модель для бизнеса в сфере трансграничных переводов,Переход к платформенной модели в трансграничных переводах | Кейсы Rocketmind,"На стратегической сессии адаптировали фреймворки под трансграничные сервисы, определили экосистемные роли и разработали архитектуру платформенной модели с дорожной картой трансформации.","На стратсессии адаптировали фреймворки под трансграничные сервисы, выявили ключевые роли и разработали архитектуру платформенной модели. Клиент получил видение развития платформы и дорожную карту трансформации.","Платформа, Экосистема, Финтех",2022,"Компания в сфере трансграничных переводов переосмыслила свою роль на рынке и перешла к платформенному мышлению. 

На стратегической сессии с использованием Platform Innovation Kit определили экосистемных участников, ценностные предложения и ключевые элементы платформенной бизнес‑модели, а также создали дорожную карту трансформации.",Иллюстрация стратегической сессии: команда,Платформенная модель для бизнеса в сфере трансграничных переводов,"На стратсессии адаптировали фреймворки под трансграничные сервисы, выявили ключевые роли и разработали архитектуру платформенной модели. Клиент получил видение развития платформы и дорожную карту трансформации.",Стратсессия,по платформенной модели,Использовали методологию Platform Innovation Kit ,Архитектура,платформы и ролей,Зафиксировали роли участников и ключевые элементы ,Карта,трансформации,"Определили приоритеты, этапы и ориентиры перехода","Клиент получил согласованное видение развития платформы, архитектуру ролей и ключевых элементов бизнес‑модели, а также дорожную карту трансформации трансграничных сервисов.",,,
