№,Компания,Топ 5,Название,SEO Meta title,SEO Meta description,Короткое описание (абзац),Тег,Дата ,Ключевые мысли,Обложка,Заголовок кейса,Короткое описание,Ф1 цифра,Ф1 подпись,Ф1 описание,Ф2 цифра,Ф2 подпись,Ф2 описание,Ф3 цифра,Ф3 подпись,Ф3 описание,итог проекта,тело кейса,Связи с продуктами, CTA
13,Финтех старап,,Разработка экосистемной стратегии для финтех-стартапа,Экосистемная стратегия для финтех-стартапа | Кейсы Rocketmind,"Сопроводили финтех-стартап через обучение, консультации и исследование на базе Platform Innovation Kit и разработали экосистемную стратегию как основу для управленческих решений и роста бизнеса.","Провели воркшопы, консультации и исследовательскую работу. Объединили процессы в единой логике и разработали методологическую базу и экосистемную стратегию для развития бизнеса.","Экосистема, Стратегия, Финтех",2022,"Финтех-стартапу с большой командой потребовалась целостная экосистемная стратегия. На базе Platform Innovation Kit объединили обучение, консультации и исследование, создав методологическую базу и стратегическую документацию, которая стала фундаментом управленческих решений.",Иллюстрация совместной работы: команда на воркшопе,Разработка экосистемной стратегии для финтех-стартапа,"Провели воркшопы, консультации и исследовательскую работу. Объединили процессы в единой логике. Разработали методологическую базу и экосистемную стратегию как основу для развития бизнеса.",>1000,сотрудников в команде,Стратегия создавалась для крупного финтех-стартапа ,Цикл,"обучения, исследований и разработки",Объединили воркшопы и консультации на базе PIK в единую логику работы,База,стратегии и методологии,Разработали фундамент управленческих решений и роста бизнеса,"Команда стартапа получила согласованную, наглядную экосистемную стратегию и методологическую базу, которые поддерживают управленческие решения и задают направление дальнейшего роста.",,,
14,Индустриальный холдинг,,Общее стратегическое видение цифровой трансформации холдинга,Стратегическое видение цифровой трансформации холдинга | Кейсы Rocketmind,"На стратегической сессии проанализировали продуктовые направления, выявили барьеры и сформировали согласованное корпоративное позиционирование, приоритеты цифровизации и карту продуктового портфеля.","Проанализировали продуктовые направления, выявили барьеры и сформировали согласованное корпоративное позиционирование и приоритеты цифровизации. Создали карту портфеля продуктов для повышения конкурентоспособности.","Цифровизация, Продукты, Роли и команда",2022,"Крупный холдинг с 5 000+ сотрудников нуждался в общем стратегическом видении цифровой трансформации и ребрендинга. 

На стратегической сессии согласовали сильные и слабые стороны продуктовых направлений, выявили барьеры, сформировали рамку корпоративного бренда и определили приоритеты цифровизации.",Иллюстрация стратегической сессии: топ-менеджмент у доски,Общее стратегическое видение цифровой трансформации холдинга,"Проанализировали продуктовые направления, выявили барьеры и сформировали согласованное корпоративное позиционирование и приоритеты цифровизации. Создали карту портфеля продуктов для повышения конкурентоспособности.",5 000+,сотрудников,Работали с крупной командой с целью выработать единое стратегическое видение,Стратсессия,по цифровой трансформации,"Работали над развитием продуктовых направлений, бренда и цифровых приоритетов",Карта,портфеля продуктов и приоритетов,Определили ориентиры и приоритетные зоны цифровизации,"Холдинг получил согласованное корпоративное позиционирование, карту продуктового портфеля и приоритеты цифровой трансформации, которые легли в основу ребрендинга и дальнейших конкурентных действий на рынке.",,,
15,Государственная корпорация,,Внутренняя экосистема и продуктовый портфель для госкорпорации,Внутренняя экосистема и продуктовый портфель сервисов | Кейсы Rocketmind,"Разработка внутренней продуктовой экосистемы госкорпорации: практико-ориентированный тренинг, формирование портфеля внутренних сервисов, ценностных предложений и зон роста для выстраивания работы с внутренними заказчиками.","Провели практико-ориентированный тренинг, сформировали внутреннюю продуктовую экосистему и портфель сервисов. Разработали ценностные предложения и определили зоны роста для внутренних сервисов.","Экосистема, Продукты",2021,"Госкорпорации с 10 000+ сотрудников потребовалось переосмыслить роль внутренних сервисов и продуктовый портфель. 

На практическом тренинге сформировали структуру внутренней экосистемы, приоритизировали портфель, разработали ценностные предложения и определили зоны роста для ключевых сервисов.",Иллюстрация тренинга: команды ,Внутренняя экосистема и продуктовый портфель для госкорпорации,"Разработка внутренней продуктовой экосистемы госкорпорации: практико-ориентированный тренинг, формирование портфеля внутренних сервисов, ценностных предложений и зон роста для выстраивания работы с внутренними заказчиками.",10 000+,сотрудников,Сфокусировались на вовлечении в совместную работу,Структура ,продуктовой экосистемы,"Описали, как взаимосвязаны внутренние сервисы, и зафиксировали их роли",Портфель,сервисов,Сформировали модель продуктового портфеля и ценностные предложения,"Корпорация получила единую модель внутреннего продуктового портфеля, ценностные предложения и приоритеты развития, которые стали основой для согласованной работы с внутренними заказчиками и адаптации сервисов к меняющимся бизнес-требованиям.",,,
16,Российская государственная библиотека,,Трансформация крупной государственной библиотеки,Стратегия цифровой и сервисной трансформации крупной государственной библиотеки | Кейсы Rocketmind,"Трансформация одной из крупнейших библиотек мира: исследование трендов и международного опыта, 400 интервью с пользователями, сегментация аудитории и стратегия, отражающая ожидания нового поколения читателей.","Выявили ключевые тренды и потребности аудитории за счёт комплексного анализа отрасли и сегментации пользователей. Разработали стратегию, которая отражает ожидания нового поколения читателей.","Стратегия, Клиентский опыт, Цифровизация",2021,"Библиотеке мирового масштаба требовалось понять тренды индустрии и потребности различных сегментов аудитории, чтобы обновить продуктовый портфель и стать современным культурным и образовательным центром. 

Провели комплексное исследование трендов, международного опыта и клиентского опыта, 400 интервью и совместную работу с сотрудниками, чтобы создать стратегию и новую сервисную модель.",Иллюстрация: пространства библиотеки и аудитории,Трансформация крупной государственной библиотеки,"Выявили ключевые тренды и потребности аудитории за счёт комплексного анализа отрасли и сегментации пользователей. Разработали стратегию, которая отражает ожидания нового поколения читателей.",400,интервью с пользователями,"Проанализировали разные группы аудитории, чтобы понять ожидания, потребности и боли",6,стран для бенчмарка,Изучили международный опыт развития и модернизации библиотек  и нашли релевантные практики,Карты,клиентского опыта,"Разработали их по примерам ведущих библиотек Нью-Йорка, Милана и Москвы","Библиотека получила глубоко сегментированное понимание аудитории, карту клиентского опыта и долгосрочную стратегию с новой сервисной моделью, что заложило основу для модернизации услуг и повышения спроса на библиотечные мероприятия.",,,
17,Девелопер Джи-групп,,Исследования для экосистемной стратегии девелопера,Исследования для экосистемной стратегии B2B-девелопера | Кейсы Rocketmind,"Масштабное исследование для экосистемной стратегии: анализ рынка B2B-девелопмента, 11 конкурентов, 20 глубинных интервью и база артефактов для выхода в новые ниши.","Сформировали информационный базис для захвата новых ниш за счёт глубокого анализа рынка B2B-девелопмента, комплексного исследования конкурентов и проведения целевых интервью с внутренними и внешними заказчиками.","Анализ рынка, Стратегия",2025,"Крупному девелоперу в сегменте B2B потребовалась систематизированная база знаний о рынке, трендах и целевой аудитории для экосистемной стратегии. 

Провели исследование рынка и трендов, анализ 11 конкурентов, 20 глубинных интервью с внутренними и внешними заказчиками и подготовили отчёты, канвасы и фреймворки для принятия стратегических решений.","Иллюстрация: аналитические материалы, карты",Исследования для экосистемной стратегии девелопера,"Сформировали информационный базис для захвата новых ниш за счёт глубокого анализа рынка B2B-девелопмента, комплексного исследования конкурентов и проведения целевых интервью с внутренними и внешними заказчиками.",11,конкурентов,Изучили продуктовые портфели и стратегии ключевых игроков,20,глубинных интервью,"Опросили внутренних и внешних заказчиков, оценили их потребности",113+,инструментов и ИТ-решений,Провели обзор инструментария для оптимизации процессов,"Заказчик получил комплексный анализ драйверов и трендов рынка B2B-девелопмента, данные по конкурентам, результаты глубинных интервью и набор инструментов, отчётов и фреймворков, которые легли в основу экосистемной стратегии и выхода в новые ниши.",,,
18,Девелопер ???,,Новые рынки для девелопера умных офисов и коворкингов,Стратегический план выхода на новые рынки для девелопера умных офисов и коворкингов | Кейсы Rocketmind,"Разработка стратегического плана для девелопера умных офисов и коворкингов: анализ эволюции бизнес-модели, оценка потенциала масштабирования и формирование шагов по выходу на новые рынки и рост операционной эффективности.","Проанализировали текущую бизнес-модель и её эволюцию, выявили сильные и слабые стороны. Создали стратегический план с конкретными шагами для выхода на новые рынки и повышения операционной эффективности.","Бизнес-модель, Стратегия",2021,"Девелоперу умных офисов и коворкингов требовалось усилить позиции на текущих рынках и войти в тройку лидеров в новых сегментах, одновременно улучшая сервис и операционную эффективность. 

На установочной стратегической сессии систематизировали знания о бизнес-модели, проанализировали её эволюцию, оценили потенциал масштабирования и зафиксировали гипотезы для новой модели или платформы в виде конкретного плана действий.",Иллюстрация стратегической сессии: команда у схем ,Новые рынки для девелопера умных офисов и коворкингов,"Проанализировали текущую бизнес-модель и её эволюцию, выявили сильные и слабые стороны. Создали стратегический план с конкретными шагами для выхода на новые рынки и повышения операционной эффективности.",Бизнес-модель,в динамике,"Систематизировали знания о текущей модели, её сильные и слабые стороны",Потенциал,новых рынков,"Оценили, как масштабироваться в новые сегменты, сформулировали ключевые гипотезы роста",Канвасы,бизнес-модели,Заполнили ключевые фреймворки Platform Innovation Kit и визуализировали модель,"Заказчик получил комплексный стратегический план с действиями по выходу на новые рынки, улучшению сервиса и повышению операционной эффективности, который помог укрепить позиции в сегменте умных офисов и коворкингов и двигаться к целевым финансовым показателям.",,,
19,Артгрупп,,Стратегия развития в сфере дизайна интерьера на горизонте 3–5 лет,Стратегическое исследование трендов устойчивого дизайна интерьера | Кейсы Rocketmind,"Стратегическое исследование для компании в сфере дизайна интерьера: более 200 источников, анализ zero-waste и sustainable-практик, ТОП‑15 игроков и 40+ трендов для планирования на 3–5 лет.",Организовали масштабное исследование потребительских и технологических трендов в сфере zero-waste и sustainable-дизайна. Подготовили стратегические рекомендации для долгосрочного планирования и укрепления позиций.,"Анализ рынка, Стратегия",2021,"Клиенту в сфере дизайна интерьера потребовалось определить перспективные направления развития на горизонте 3–5 лет с фокусом на zero-waste и устойчивом дизайне. 

Провели контент-анализ более 200 источников, изучили ТОП‑15 игроков, спрос в разных сегментах и более 40 трендов, подготовив стратегические материалы для планирования и фандрайзинга.",Иллюстрация: коллаж интерьерных решений,Стратегия развития в сфере дизайна интерьера на горизонте 3–5 лет,Организовали масштабное исследование потребительских и технологических трендов в сфере zero-waste и sustainable-дизайна. Подготовили стратегические рекомендации для долгосрочного планирования и укрепления позиций.,200+,источников,"Провели анализ более отраслевых отчётов, публикаций и аналитических материалов",ТОП‑15,мировых игроков,"Разобрали бизнес‑модели, сервисы и экосистемы ведущих агентств, маркетплейсов и производителей ",40+,ключевых трендов,"Выявили социокультурные, макроэкономические тенденции, влияющие на дизайн интерьеров","Компания получила целостное понимание рынка устойчивого дизайна, перспективные ниши и бизнес‑модели, сегменты клиентов и 10+ векторов развития, которые легли в основу стратегии и продуктовых решений на горизонте 3–5 лет.",,,
20,БиоЭнерго,,Инвестиции для компании в сфере альтернативной энергетики,Исследование для цифровой и инвестиционной стратегии в альтернативной энергетике | Кейсы Rocketmind,"Комплексное исследование мировой и российской отрасли альтернативной энергетики: ключевые игроки, тренды, цифровые практики и 45 M&A-сделок как база для роста инвестиционной привлекательности.","Исследовали рынок альтернативной энергетики и передовых цифровых практик, ключевых игроков, тренды и инновационные технологии. Сформировали стратегическую базу для повышения инвестиционной привлекательности.","Анализ рынка, Стратегия, Цифровизация",2022,"Российская компания в сфере альтернативной энергетики запросила цифровую трансформацию для повышения инвестиционной привлекательности. Провели аналитическое исследование мировой и российской отрасли, изучили цифровые практики, бизнес-модели стартапов и стратегии ТОП-игроков, собрали данные по рынку и M&A, чтобы обозначить точки роста и укрепить позиционирование компании как устойчивого и цифрового игрока.",Иллюстрация: визуализация энергетических объекто,Инвестиции для компании в сфере альтернативной энергетики,"Исследовали рынок альтернативной энергетики и передовых цифровых практик, ключевых игроков, тренды и инновационные технологии. Сформировали стратегическую базу для повышения инвестиционной привлекательности.",ТОП‑10,игроков отрасли,Проанализировали приоритеты и цифровые подходы ведущих компаний в России и мире,45,M&A-сделок,"Составили список сделок, чтобы показать логику партнёрств и консолидации рынка",ТОП‑5,российских компаний,Изучили стратегии крупнейших производителей по цифровой трансформации,"Клиент получил комплексную аналитику рынка альтернативной энергетики, стратегии ТОП‑игроков и M&A-сделок, что позволило выделить перспективные ниши, усилить образ цифрового и устойчивого лидера и повысить качество диалога с инвесторами.",,,
21,HR-платформа,,Бизнес-модель и стратегия HR-платформы для гибких команд,Создание цифровой платформы с порталом и мобильным приложением | Кейсы Rocketmind,"Серия бизнес-дизайн сессий: сегментация аудитории, ценностные предложения, продуктовые гипотезы и платформенный канвас, на основе которых создана HR‑платформа с порталом и мобильным приложением.","Организовали серию дизайн-сессий, сформировали ценностные предложения и гипотезы, визуализировали бизнес-модель в канвасе. Финальный продукт — цифровая платформа с порталом и мобильным приложением.","Платформа, Цифровизация, Бизнес-модель",2022,"Клиенту требовалось разработать концепцию и стратегию HR‑платформы для гибких команд: определить функциональную структуру, сегменты пользователей и подготовить материалы для реализации и продвижения. 

Провели серию бизнес-дизайн сессий, сформировали ценностные предложения и продуктовые гипотезы, свели их в платформенный канвас и финальные материалы, на основе которых была создана платформа.",Иллюстрация: команда на дизайн-сессии,Бизнес-модель и стратегия HR-платформы для гибких команд,"Организовали серию дизайн-сессий, сформировали ценностные предложения и гипотезы, визуализировали бизнес-модель в канвасе. Финальный продукт — цифровая платформа с порталом и мобильным приложением.",Сегментация,целевой аудитории,"Выделили ключевые группы и их задачи, чтобы строить платформу от реальности",Потребности,клиентов,Сформировали понятные ценностные предложения под каждую группу,Интеграция,всех разработок,"Собрали врешения в единый платформенный канвас, визуализировали логику бизнес‑модели","Клиент получил концепцию и стратегию HR‑платформы: сегменты пользователей, ценностные предложения, продуктовые гипотезы и платформенный канвас, на основе которых была разработана цифровая платформа с порталом, приложением и офлайн‑форматами для поддержки гибких команд.",,,
22,ГазпромБанк,,Анализ клиентского опыта банка с целью снижения отказов,Анализ клиентского пути по ипотеке для снижения отказов | Кейсы Rocketmind,"Разработали 10 карт клиентского пути по ипотеке, провели опросы клиентов, выявили барьеры и подготовили отчёт с рекомендациями, которые помогли снизить отказы и повысить лояльность.","Разработали 10 карт клиентского пути. Провели опросы и собрали репрезентативные данные, выявили основные барьеры. Банк получил детальный отчёт с рекомендациями для повышения лояльности клиентов.",Клиентский опыт,2022,"Банк хотел сократить отказы по ипотеке и улучшить клиентский опыт в собственных и партнёрских каналах. 

Разработали 10 карт клиентского пути, собрали репрезентативные данные через рекрутинг и опросы и выявили ключевые барьеры, на основе чего подготовили отчёт с конкретными точками улучшения.",Иллюстрация: клиенты банка,Анализ клиентского опыта банка с целью снижения отказов,"Разработали 10 карт клиентского пути. Провели опросы и собрали репрезентативные данные, выявили основные барьеры. Банк получил детальный отчёт с рекомендациями для повышения лояльности клиентов.",10,карт клиентского пути,Описали ключевые этапы подачи заявки и оформления ипотеки во всех каналах обслуживания,Опросы,и рекрутинг,Собрали репрезентативные данные по опыту оформления ипотеки,Рекомендации,и барьеры,Выявили и описали основные пункты по оптимизации клиентского пути,"Банк получил 10 карт клиентского пути, данные опросов и отчёт с рекомендациями, внедрение которых снизило отказы по ипотеке, повысило удовлетворённость и укрепило позиции на рынке ипотечного кредитования.",,,
23,AI-команды банка (Сбер),,Платформенное бизнес-моделирование для AI-команды банка,Воркшоп по платформенному бизнес-моделированию для AI‑команды банка | Кейсы Rocketmind,"Воркшоп с использованием Platform Innovation Kit для AI‑команды банка: создание и описание новых гипотез платформенных бизнес‑моделей, рассмотрение альтернативных подходов и визуализация идей.","Подробно описали несколько новых гипотез платформенных бизнес-моделей, рассмотрели альтернативные подходы и использовали интерактивные форматы и визуализации. Клиент получил проработанные идеи для развития.","Платформа, Бизнес‑модель",2025,"AI‑команда банка столкнулась с дефицитом свежих гипотез для развития платформенной бизнес‑модели. 

На воркшопе с визуальными инструментами Platform Innovation Kit вместе с командой сформулировали и описали новые гипотезы, рассмотрели альтернативные сценарии развития платформы и визуализировали идеи для дальнейшей работы.",Иллюстрация: AI‑команда банка на воркшопе,Платформенное бизнес-моделирование для AI-команды банка,Подробно описали несколько новых гипотез платформенных бизнес-моделей. Рассмотрели альтернативные подходы. Использовали интерактивные форматы и визуализации. Клиент получил проработанные идеи для развития.,Воркшоп,с AI‑командой,Провели сессию по бизнес‑моделированию с использованием визуальных инструментов Platform Innovation Kit,Гипотезы,платформенных моделей,Совместно с командой создали и подробно описали предположения о развитии платформенных бизнес‑моделей,Подходы,к развитию платформы,"Рассмотрели альтернативы и подходы, оценили возможности для внедрения инноваций и масштабирования","Команда клиента получила набор новых, проработанных гипотез платформенных бизнес‑моделей и сценариев развития платформы, что усилило процессы инновационного проектирования и задало основу для дальнейшей работы AI‑команды.",,,
24,Хоккейный клуб Авангард,,Уточнение бизнес-моделей и выявление точек роста для хоккейного клуба,Стратегическая сессия по точкам роста хоккейного клуба | Кейсы Rocketmind,"Двухдневная стратегическая сессия для хоккейного клуба КХЛ: анализ портфеля бизнес-моделей, новые гипотезы и точки роста, усиление инновационной культуры и согласованное стратегическое видение.","Провели двухдневную стратегическую сессию с командой. Выявили точки роста, оценили текущие бизнес-модели и описали новые гипотезы. Клиент получил согласованное стратегическое видение и укрепил инновационную культуру.","Стратегия, Бизнес-модель",2020,"Хоккейному клубу КХЛ нужно было уточнить портфель бизнес-моделей и найти точки роста в меняющихся рыночных условиях. 

На двухдневной стратегической сессии проанализировали текущие модели, сформировали новые гипотезы, определили направления роста и усилили инновационную культуру команды.",Иллюстрация: менеджмент хоккейного клуба за стратегической сессией,Уточнение бизнес-моделей и выявление точек роста для хоккейного клуба,"Провели двухдневную стратегическую сессию с командой. Выявили точки роста, оценили текущие бизнес-модели и описали новые гипотезы. Клиент получил согласованное стратегическое видение и укрепил инновационную культуру.",2,дня сессии,"Команда клуба прошла через анализ, формирование гипотез и согласование приоритетов роста",Портфель,бизнес-моделей,Проанализировали текущие бизнес-модели клуба и описали новые гипотезы для усиления портфеля,Культура ,команды,Сфокусировались на развитии инновационной культуры и создании условий для появления новых идей,"Клуб получил обновлённое, согласованное стратегическое видение, набор новых гипотез и точек роста портфеля бизнес-моделей, а также укреплённую инновационную культуру для дальнейшего развития в конкурентной среде.",,,
25,Компания химической промышленности,,Бизнес-дизайн платформы для химической компании,Бизнес-дизайн внутреннего стартапа для химической компании | Кейсы Rocketmind,"Совместные сессии по бизнес-дизайну внутреннего стартапа: систематизация ценностных предложений, сегментов и монетизации, проработанная бизнес-модель и дорожная карта для запуска нового направления.",Организовали совместные сессии для создания и систематизации ключевых аспектов бизнес-модели внутреннего стартапа. Результат — проработанная бизнес-модель с дорожной картой для запуска нового направления.,Бизнес-модель,2020,"Химической компании нужно было создать эффективную бизнес-модель для внутреннего стартапа и заложить основу для внедрения нового направления. 

На совместных сессиях систематизировали ключевые элементы — от ценностных предложений и сегментов до каналов и монетизации — и оформили бизнес-модель с дорожной картой для запуска.",Иллюстрация: команда промышленной компании на рабочей сессии,Бизнес-дизайн платформы для химической компании,Организовали совместные сессии для создания и систематизации ключевых аспектов бизнес-модели внутреннего стартапа. Результат — проработанная бизнес-модель с дорожной картой для запуска нового направления.,Сессии,по бизнес‑дизайну,Провели обучение команды клиента для формирования целостной бизнес‑модели внутреннего стартапа,Бизнес‑модель,и её элементы,"Систематизировали ценностные предложения, сегменты аудитории, каналы взаимодействия и форматы монетизации",Дорожная,карта запуска,Зафиксировали ключевые шаги внедрения и масштабирования нового направления,"Компания получила проработанную бизнес‑модель внутреннего стартапа и дорожную карту внедрения, что позволило быстро запустить новое направление с понятной структурой процессов и фокусом на факторах роста.",,,
26,Экспортная компания,,Сегментация клиентов и продуктовая линейка для экспортной компании,Сегментация клиентов и продуктовая линейка для экспортной компании | Кейсы Rocketmind,"Исследование для экспортной компании: 50 проблемных интервью, сегментация экспортёров и их потребностей, карты клиентского пути, 8 продуктовых гипотез и обучение команды методам бизнес-дизайна.",Провели 50 проблемных интервью: выявили ключевые сегменты экспортёров и их потребностей. Разработали карты клиентского пути и выдвинули 8 продуктовых гипотез. Обучили сотрудников методам бизнес-дизайна.,"Продукты, Бизнес-дизайн",2024,"Экспортной компании потребовалось понять сегменты клиентов и их задачи, чтобы оптимизировать продуктовую линейку и развить внутренние компетенции. 

Провели 50 проблемных интервью, сформировали сегменты и карты клиентского пути, создали 8 продуктовых гипотез и обучили сотрудников бизнес-дизайну, чтобы команда могла самостоятельно развивать решения.","Иллюстрация: команда за онлайн-доской с сегментами,",Сегментация клиентов и продуктовая линейка для экспортной компании,Провели 50 проблемных интервью: выявили ключевые сегменты экспортёров и их потребностей. Разработали карты клиентского пути и выдвинули 8 продуктовых гипотез. Обучили сотрудников методам бизнес-дизайна.,50,проблемных интервью,"Поговорили с клиентами, чтобы понять их реальные задачи, выгоды и болевые точки",8,продуктовых гипотез,На серии дизайн‑сессий сформировали восемьвидение новых продуктов и оформили их в наглядно,Отчёт,с итогами и аналитикой,Собрали конкретные рекомендации по оптимизации линейки и улучшению клиентского опыта,"Заказчик получил обоснованную сегментацию экспортёров, карты клиентского пути и 8 продуктовых гипотез, а также обученную команду, способную самостоятельно исследовать рынок и адаптировать продуктовую линейку под потребности клиентов.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2.20. AI-команды банка (Сбер),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Дизайн-сессия по платформенному бизнес-моделированию для AI-команды банка,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2.21. Хоккейный клуб Авангард,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Стратегическая сессия для хоккейного клуба: уточнение бизнес-моделей и выявление точек роста,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2.22. Компания химической промышленности,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Дизайн платформенной бизнес-модели для запуска нового направления компании химической промышленности,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,2.23. Экспортная компания,,,,,,,,,,,,,,,,,,,,,,,,